"location";"listing_description";"listing_status";"seller_agent_id";"property_id"
"New York";"Luxury apartment with city views";"Available";104;301
"Los Angeles";"Spacious family home with backyard";"Sold";108;302
"Chicago";"Modern condo with lake view";"Pending";113;303
"Houston";"Villa with private pool and garden";"Available";118;304
"San Francisco";"Compact studio in downtown";"Available";124;305
"Seattle";"Townhouse near tech companies";"Sold";128;306
"Boston";"Apartment with easy access to public transport";"Available";134;307
"Miami";"Condo with beach access";"Pending";138;308
"Denver";"House with mountain views";"Available";144;309
"Phoenix";"Studio in a vibrant neighborhood";"Sold";148;310
"San Diego";"Apartment close to beaches";"Available";154;311
"Dallas";"Family house in a quiet neighborhood";"Pending";158;312
"Orlando";"Condo near theme parks";"Available";164;313
"Atlanta";"Villa with spacious backyard";"Sold";168;314
"Las Vegas";"Studio with casino views";"Available";174;315
"Portland";"Townhouse with modern design";"Pending";178;316
"Philadelphia";"Apartment in historic district";"Available";184;317
"Charlotte";"Newly built condo";"Pending";188;318
"Austin";"House with eco-friendly features";"Available";194;319
"San Jose";"Apartment in tech hub area";"Available";198;320
