"property_id";"no_of_bedrooms";"size";"type_of_property";"price";"address";"year_built";"location"
301;3;1200;"Apartment";300000.0;"123 Main St";2015;"New York"
302;4;1500;"House";450000.5;"456 Elm St";2010;"Los Angeles"
303;2;900;"Condo";200000.75;"789 Oak St";2020;"Chicago"
304;5;2500;"Villa";750000.99;"101 Pine St";2005;"Houston"
305;1;600;"Studio";150000.25;"202 Maple St";2018;"San Francisco"
306;4;1700;"Townhouse";380000.75;"654 Cedar Ave";2016;"Seattle"
307;3;1300;"Apartment";320000.0;"987 Walnut St";2012;"Boston"
308;2;850;"Condo";220000.55;"741 Spruce Rd";2019;"Miami"
309;5;2800;"House";800000.0;"369 Birch Blvd";2003;"Denver"
310;1;550;"Studio";175000.0;"258 Palm Dr";2017;"Phoenix"
311;3;1100;"Apartment";290000.75;"852 Maple Dr";2014;"San Diego"
312;4;1600;"House";500000.0;"147 Oak Ln";2011;"Dallas"
313;2;950;"Condo";250000.35;"963 Cherry Ct";2021;"Orlando"
314;5;2600;"Villa";700000.2;"789 Cypress St";2004;"Atlanta"
315;1;650;"Studio";160000.85;"321 Pine Rd";2019;"Las Vegas"
316;4;1800;"Townhouse";390000.0;"432 Fir St";2013;"Portland"
317;3;1250;"Apartment";350000.4;"543 Willow Ave";2018;"Philadelphia"
318;2;800;"Condo";210000.99;"675 Ash Blvd";2022;"Charlotte"
319;5;2400;"House";670000.75;"876 Elm St";2007;"Austin"
320;3;1400;"Apartment";310000.6;"109 Redwood Ln";2016;"San Jose"
